Year,Category,Cause,Number of Cases
2010,Medically,"Transport accidents",4583
2010,Medically,"Pneumonia",6504
2010,Medically,"Malignant neoplasm of trachea, bronchus and lung",1555
2010,Medically,"Chronic lower respiratory diseases",1306
2010,Non-Medically,"Old age 65 years and over",34130
2010,Non-Medically,"Asthma",3188
2010,Non-Medically,"Fever",640
2010,Non-Medically,"Cerebrovascular diseases",1281
2010,Non-Medically,"Diabetes mellitus",1738
2010,Non-Medically,"Hypertension",1407
2010,Non-Medically,"Transport accidents-air,land and water",268
2010,Non-Medically,"Ischaemic heart diseases",579
2011,Medically,"Ischaemic heart diseases",10004
2011,Medically,"Septicaemia",4540
2011,Medically,"Cerebrovascular diseases",5112
2011,Medically,"Transport accidents",4502
2011,Medically,"Pneumonia",7518
2011,Medically,"Malignant neoplasm of trachea, bronchus and lung",1607
2011,Medically,"Chronic lower respiratory diseases",1231
2011,Non-Medically,"Old age 65 years and over",35840
2011,Non-Medically,"Asthma",2999
2011,Non-Medically,"Fever",581
2011,Non-Medically,"Cerebrovascular diseases",1319
2011,Non-Medically,"Diabetes mellitus",1709
2011,Non-Medically,"Hypertension",1439
2011,Non-Medically,"Transport accidents-air,land and water",278
2011,Non-Medically,"Ischaemic heart diseases",709
2012,Medically,"Ischaemic heart diseases",10091
2012,Medically,"Septicaemia",4698
2012,Medically,"Cerebrovascular diseases",5220
2012,Medically,"Transport accidents",4566
2012,Medically,"Pneumonia",8031
2012,Medically,"Malignant neoplasm of trachea, bronchus and lung",1704
2012,Medically,"Chronic lower respiratory diseases",1162
2012,Non-Medically,"Old age 65 years and over",37353
2012,Non-Medically,"Asthma",2970
2012,Non-Medically,"Fever",564
2012,Non-Medically,"Cerebrovascular diseases",1595
2012,Non-Medically,"Diabetes mellitus",1865
2012,Non-Medically,"Hypertension",1502
2012,Non-Medically,"Transport accidents-air,land and water",322
2012,Non-Medically,"Ischaemic heart diseases",902
2013,Medically,"Ischaemic heart diseases",10169
2013,Medically,"Septicaemia",4611
2013,Medically,"Cerebrovascular diseases",5156
2013,Medically,"Transport accidents",4538
2013,Medically,"Pneumonia",9142
2013,Medically,"Malignant neoplasm of trachea, bronchus and lung",1816
2013,Medically,"Chronic lower respiratory diseases",1215
2013,Non-Medically,"Old age 65 years and over",37068
2013,Non-Medically,"Asthma",2823
2013,Non-Medically,"Fever",504
2013,Non-Medically,"Cerebrovascular diseases",1721
2013,Non-Medically,"Diabetes mellitus",1869
2013,Non-Medically,"Hypertension",1603
2013,Non-Medically,"Transport accidents-air,land and water",430
2013,Non-Medically,"Ischaemic heart diseases",1006
2014,Medically,"Ischaemic heart diseases",10432
2014,Medically,"Septicaemia",4698
2014,Medically,"Cerebrovascular diseases",5474
2014,Medically,"Transport accidents",4304
2014,Medically,"Pneumonia",9250
2014,Medically,"Malignant neoplasm of trachea, bronchus and lung",1741
2014,Medically,"Chronic lower respiratory diseases",1219
2014,Non-Medically,"Old age 65 years and over",38065
2014,Non-Medically,"Asthma",1728
2014,Non-Medically,"Fever",397
2014,Non-Medically,"Cerebrovascular diseases",1804
2014,Non-Medically,"Diabetes mellitus",2161
2014,Non-Medically,"Hypertension",1755
2014,Non-Medically,"Transport accidents-air,land and water",310
2014,Non-Medically,"Ischaemic heart diseases",1046
2015,Medically,"Ischaemic heart diseases",11018
2015,Medically,"Septicaemia",3407
2015,Medically,"Cerebrovascular diseases",5678
2015,Medically,"Transport accidents",4196
2015,Medically,"Pneumonia",10200
2015,Medically,"Malignant neoplasm of trachea, bronchus and lung",1809
2015,Medically,"Chronic lower respiratory diseases",1306
2015,Non-Medically,"Old age 65 years and over",37869
2015,Non-Medically,"Asthma",1677
2015,Non-Medically,"Fever",469
2015,Non-Medically,"Cerebrovascular diseases",1891
2015,Non-Medically,"Diabetes mellitus",2233
2015,Non-Medically,"Hypertension",2009
2015,Non-Medically,"Transport accidents-air,land and water",347
2015,Non-Medically,"Ischaemic heart diseases",1367
2016,Medically,"Ischaemic heart diseases",11310
2016,Medically,"Septicaemia",3582
2016,Medically,"Cerebrovascular diseases",5876
2016,Medically,"Transport accidents",4640
2016,Medically,"Pneumonia",10678
2016,Medically,"Malignant neoplasm of trachea, bronchus and lung",1850
2016,Medically,"Chronic lower respiratory diseases",1583
2016,Non-Medically,"Old age 65 years and over",38452
2016,Non-Medically,"Asthma",1635
2016,Non-Medically,"Fever",401
2016,Non-Medically,"Cerebrovascular diseases",2018
2016,Non-Medically,"Diabetes mellitus",2286
2016,Non-Medically,"Hypertension",2090
2016,Non-Medically,"Transport accidents-air,land and water",299
2016,Non-Medically,"Ischaemic heart diseases",1459
2017,Medically,"Ischaemic heart diseases",13503
2017,Medically,"Septicaemia",3648
2017,Medically,"Cerebrovascular diseases",6878
2017,Medically,"Transport accidents",4499
2017,Medically,"Pneumonia",12365
2017,Medically,"Malignant neoplasm of trachea, bronchus and lung",2251
2017,Medically,"Chronic lower respiratory diseases",1927
2017,Non-Medically,"Old age 65 years and over",35057
2017,Non-Medically,"Asthma",1328
2017,Non-Medically,"Fever",324
2017,Non-Medically,"Cerebrovascular diseases",1871
2017,Non-Medically,"Diabetes mellitus",2243
2017,Non-Medically,"Hypertension",2187
2017,Non-Medically,"Transport accidents-air,land and water",257
2017,Non-Medically,"Ischaemic heart diseases",1217
2018,Medically,"Ischaemic heart diseases",18267
2018,Medically,"Septicaemia",4073
2018,Medically,"Cerebrovascular diseases",9154
2018,Medically,"Transport accidents",4391
2018,Medically,"Pneumonia",13804
2018,Medically,"Malignant neoplasm of trachea, bronchus and lung",2805
2018,Medically,"Chronic lower respiratory diseases",3074
2018,Non-Medically,"Old age 65 years and over",25549
2018,Non-Medically,"Asthma",1043
2018,Non-Medically,"Fever",175
2018,Non-Medically,"Cerebrovascular diseases",1483
2018,Non-Medically,"Diabetes mellitus",1889
2018,Non-Medically,"Hypertension",2131
2018,Non-Medically,"Transport accidents-air,land and water",111
2018,Non-Medically,"Ischaemic heart diseases",921
2019,Medically,"Ischaemic heart diseases",16336
2019,Medically,"Septicaemia",4173
2019,Medically,"Cerebrovascular diseases",8699
2019,Medically,"Transport accidents",4201
2019,Medically,"Pneumonia",13384
2019,Medically,"Malignant neoplasm of trachea, bronchus and lung",2606
2019,Medically,"Chronic lower respiratory diseases",2314
2019,Non-Medically,"Old age 65 years and over",30729
2019,Non-Medically,"Asthma",1079
2019,Non-Medically,"Fever",130
2019,Non-Medically,"Cerebrovascular diseases",1715
2019,Non-Medically,"Diabetes mellitus",1999
2019,Non-Medically,"Hypertension",2397
2019,Non-Medically,"Transport accidents-air,land and water",132
2019,Non-Medically,"Ischaemic heart diseases",1031
2020,Medically,"Ischaemic heart diseases",18526
2020,Medically,"Septicaemia",3989
2020,Medically,"Cerebrovascular diseases",9105
2020,Medically,"Transport accidents",3169
2020,Medically,"Pneumonia",12424
2020,Medically,"Malignant neoplasm of trachea, bronchus and lung",2742
2020,Medically,"Chronic lower respiratory diseases",2265
2020,Medically,"COVID-19 infection",405
2020,Non-Medically,"Old age 65 years and over",26108
2020,Non-Medically,"Asthma",588
2020,Non-Medically,"Fever",52
2020,Non-Medically,"Cerebrovascular diseases",1368
2020,Non-Medically,"Diabetes mellitus",1756
2020,Non-Medically,"Hypertension",2196
2020,Non-Medically,"Ischaemic heart diseases",740
2020,Non-Medically,"Transport accidents-air,land and water",85
2021,Medically,"COVID-19 infection",31063
2021,Medically,"Septicaemia",4908
2021,Medically,"Ischaemic heart diseases",21485
2021,Medically,"Cerebrovascular diseases",10181
2021,Medically,"Transport accidents",3062
2021,Medically,"Pneumonia",17503
2021,Medically,"Malignant neoplasm of trachea, bronchus and lung",2679
2021,Medically,"Chronic lower respiratory diseases",2337
2021,Non-Medically,"Old age 65 years and over",29910
2021,Non-Medically,"Asthma",689
2021,Non-Medically,"Fever",30
2021,Non-Medically,"Cerebrovascular diseases",1581
2021,Non-Medically,"Diabetes mellitus",2126
2021,Non-Medically,"Hypertension",3309
2021,Non-Medically,"Ischaemic heart diseases",812
2021,Non-Medically,"Transport accidents-air,land and water",78
2022,Medically,"COVID-19 infection",5314
2022,Medically,"Septicaemia",5006
2022,Medically,"Ischaemic heart diseases",20322
2022,Medically,"Cerebrovascular diseases",9149
2022,Medically,"Transport accidents",4012
2022,Medically,"Pneumonia",16770
2022,Medically,"Malignant neoplasm of trachea, bronchus and lung",2644
2022,Medically,"Chronic lower respiratory diseases",2324
2022,Non-Medically,"Old age 65 years and over",35679
2022,Non-Medically,"Asthma",909
2022,Non-Medically,"Fever",41
2022,Non-Medically,"Cerebrovascular diseases",2109
2022,Non-Medically,"Diabetes mellitus",2619
2022,Non-Medically,"Hypertension",3911
2022,Non-Medically,"Ischaemic heart diseases",1024
2022,Non-Medically,"Transport accidents-air,land and water",100
